baseScore,month_label,month,count_by_month,severity,count_by_sev,cpe_label,count_by_cpe,vendor,count_by_vendor
4.3,June,6,5,Medium,517,Application,259,Winscp,1
6.8,June,6,4,Medium,130,Application,53,Winscp,1
6.8,June,6,4,Medium,130,Application,53,Vmware,1
4.3,June,6,5,Medium,517,Application,259,Unknown,61
5,June,6,2,Medium,269,Application,25,Unknown,60
5.8,June,6,2,Medium,56,Application,32,Unknown,9
4.3,June,6,5,Medium,517,Application,259,Php,2
5,June,6,2,Medium,269,Application,25,Php,1
6.8,June,6,4,Medium,130,Application,53,Php,1
4.3,June,6,5,Medium,517,Application,259,Oracle,6
6.8,June,6,4,Medium,130,Application,53,Oracle,3
4.3,June,6,5,Medium,517,Application,259,Openssl,21
4.3,June,6,5,Medium,517,Application,259,O,1
4.3,June,6,5,Medium,517,Application,259,Nullsoft,2
4.3,June,6,5,Medium,517,Application,259,Mozilla,71
5.8,June,6,2,Medium,56,Application,32,Mozilla,25
6.8,June,6,4,Medium,130,Application,53,Mozilla,1
4,June,6,2,Medium,30,Application,9,Microsoft,21
4.3,June,6,5,Medium,517,Application,259,Microsoft,216
5,June,6,2,Medium,269,Application,25,Microsoft,184
5.8,June,6,2,Medium,56,Application,32,Microsoft,18
6.8,June,6,4,Medium,130,Application,53,Microsoft,78
4.3,June,6,5,Medium,517,Application,259,Mcafee,46
5,June,6,2,Medium,269,Application,25,Mcafee,3
4.3,June,6,5,Medium,517,Application,259,Imagemagick,2
6.8,June,6,4,Medium,130,Application,53,Imagemagick,2
4,June,6,2,Medium,30,Application,9,Ietf,9
6.8,June,6,4,Medium,130,Application,53,Filezilla,4
4.3,June,6,5,Medium,517,Application,259,Cisco,64
5,June,6,2,Medium,269,Application,25,Cisco,20
4.3,June,6,5,Medium,517,Application,259,Apple,9
5,June,6,2,Medium,269,Application,25,Apple,1
5.8,June,6,2,Medium,56,Application,32,Apple,4
6.8,June,6,4,Medium,130,Application,53,Apple,39
4.3,June,6,5,Medium,517,Application,259,Adobe,15
4.3,June,6,5,Medium,517,Operation System,196,Winscp,1
6.8,June,6,4,Medium,130,Operation System,77,Winscp,1
6.8,June,6,4,Medium,130,Operation System,77,Vmware,1
4.3,June,6,5,Medium,517,Operation System,196,Unknown,61
5,June,6,2,Medium,269,Operation System,184,Unknown,60
5.8,June,6,2,Medium,56,Operation System,15,Unknown,9
4.3,June,6,5,Medium,517,Operation System,196,Php,2
5,June,6,2,Medium,269,Operation System,184,Php,1
6.8,June,6,4,Medium,130,Operation System,77,Php,1
4.3,June,6,5,Medium,517,Operation System,196,Oracle,6
6.8,June,6,4,Medium,130,Operation System,77,Oracle,3
4.3,June,6,5,Medium,517,Operation System,196,Openssl,21
4.3,June,6,5,Medium,517,Operation System,196,O,1
4.3,June,6,5,Medium,517,Operation System,196,Nullsoft,2
4.3,June,6,5,Medium,517,Operation System,196,Mozilla,71
5.8,June,6,2,Medium,56,Operation System,15,Mozilla,25
6.8,June,6,4,Medium,130,Operation System,77,Mozilla,1
4,June,6,2,Medium,30,Operation System,21,Microsoft,21
4.3,June,6,5,Medium,517,Operation System,196,Microsoft,216
5,June,6,2,Medium,269,Operation System,184,Microsoft,184
5.8,June,6,2,Medium,56,Operation System,15,Microsoft,18
6.8,June,6,4,Medium,130,Operation System,77,Microsoft,78
4.3,June,6,5,Medium,517,Operation System,196,Mcafee,46
5,June,6,2,Medium,269,Operation System,184,Mcafee,3
4.3,June,6,5,Medium,517,Operation System,196,Imagemagick,2
6.8,June,6,4,Medium,130,Operation System,77,Imagemagick,2
4,June,6,2,Medium,30,Operation System,21,Ietf,9
6.8,June,6,4,Medium,130,Operation System,77,Filezilla,4
4.3,June,6,5,Medium,517,Operation System,196,Cisco,64
5,June,6,2,Medium,269,Operation System,184,Cisco,20
4.3,June,6,5,Medium,517,Operation System,196,Apple,9
5,June,6,2,Medium,269,Operation System,184,Apple,1
5.8,June,6,2,Medium,56,Operation System,15,Apple,4
6.8,June,6,4,Medium,130,Operation System,77,Apple,39
4.3,June,6,5,Medium,517,Operation System,196,Adobe,15
4.3,June,6,5,Medium,517,Unknown,62,Winscp,1
4.3,June,6,5,Medium,517,Unknown,62,Unknown,61
5,June,6,2,Medium,269,Unknown,60,Unknown,60
5.8,June,6,2,Medium,56,Unknown,9,Unknown,9
4.3,June,6,5,Medium,517,Unknown,62,Php,2
5,June,6,2,Medium,269,Unknown,60,Php,1
4.3,June,6,5,Medium,517,Unknown,62,Oracle,6
4.3,June,6,5,Medium,517,Unknown,62,Openssl,21
4.3,June,6,5,Medium,517,Unknown,62,O,1
4.3,June,6,5,Medium,517,Unknown,62,Nullsoft,2
4.3,June,6,5,Medium,517,Unknown,62,Mozilla,71
5.8,June,6,2,Medium,56,Unknown,9,Mozilla,25
4.3,June,6,5,Medium,517,Unknown,62,Microsoft,216
5,June,6,2,Medium,269,Unknown,60,Microsoft,184
5.8,June,6,2,Medium,56,Unknown,9,Microsoft,18
4.3,June,6,5,Medium,517,Unknown,62,Mcafee,46
5,June,6,2,Medium,269,Unknown,60,Mcafee,3
4.3,June,6,5,Medium,517,Unknown,62,Imagemagick,2
4.3,June,6,5,Medium,517,Unknown,62,Cisco,64
5,June,6,2,Medium,269,Unknown,60,Cisco,20
4.3,June,6,5,Medium,517,Unknown,62,Apple,9
5,June,6,2,Medium,269,Unknown,60,Apple,1
5.8,June,6,2,Medium,56,Unknown,9,Apple,4
4.3,June,6,5,Medium,517,Unknown,62,Adobe,15
4.3,July,7,67,Medium,517,Application,259,Winscp,1
6.8,July,7,26,Medium,130,Application,53,Winscp,1
6.8,July,7,26,Medium,130,Application,53,Vmware,1
4.3,July,7,67,Medium,517,Application,259,Unknown,61
4.4,July,7,1,Medium,3,Application,1,Unknown,2
5,July,7,29,Medium,269,Application,25,Unknown,60
5.8,July,7,17,Medium,56,Application,32,Unknown,9
4.3,July,7,67,Medium,517,Application,259,Php,2
5,July,7,29,Medium,269,Application,25,Php,1
6.8,July,7,26,Medium,130,Application,53,Php,1
4.3,July,7,67,Medium,517,Application,259,Oracle,6
6.6,July,7,1,Medium,53,Application,51,Oracle,2
6.8,July,7,26,Medium,130,Application,53,Oracle,3
4.3,July,7,67,Medium,517,Application,259,Openssl,21
4.3,July,7,67,Medium,517,Application,259,O,1
4.3,July,7,67,Medium,517,Application,259,Nullsoft,2
4.3,July,7,67,Medium,517,Application,259,Mozilla,71
5.8,July,7,17,Medium,56,Application,32,Mozilla,25
6.8,July,7,26,Medium,130,Application,53,Mozilla,1
4,July,7,5,Medium,30,Application,9,Microsoft,21
4.3,July,7,67,Medium,517,Application,259,Microsoft,216
4.4,July,7,1,Medium,3,Application,1,Microsoft,1
5,July,7,29,Medium,269,Application,25,Microsoft,184
5.8,July,7,17,Medium,56,Application,32,Microsoft,18
6.6,July,7,1,Medium,53,Application,51,Microsoft,2
6.8,July,7,26,Medium,130,Application,53,Microsoft,78
4.3,July,7,67,Medium,517,Application,259,Mcafee,46
5,July,7,29,Medium,269,Application,25,Mcafee,3
